Identification,Lake identification,Year,Species code,Species,Percent abundance
Identification ,Identification des lacs,Année,Code de l’espèce,Espèce,Pourcentage de l’abondance
99,OCF19,2012,AchMin,Achnanthes minutissima,87.83
100,OCF19,2012,AchLan,Achnanthes lanceolata,0
101,OCF19,2012,AchSp1,Achnanthes species 1,0
102,OCF19,2012,AmpLib,Amphora libyca,0
103,OCF19,2012,AmpPed,Amphora pediculus,0
104,OCF19,2012,BraMic,Brachysira microcephala,0
105,OCF19,2012,CalBac,Caloneis bacillum,0
106,OCF19,2012,CalLew,Caloneis lewisii,0
107,OCF19,2012,CocPla,Cocconeis placentula,0.3
108,OCF19,2012,CymCis,Cymbella cistula,0
109,OCF19,2012,CymGra,Cymbella gracilis,0
110,OCF19,2012,CymSil,Cymbella silesiaca,0
111,OCF19,2012,CymMic,Cymbella microcephala,0
112,OCF19,2012,DiaTen,Diatoma tenius,0
113,OCF19,2012,EpiAdn,Epithemia adnata,0
114,OCF19,2012,EpiTur,Epithemia turgida,0
115,OCF19,2012,EunBil,Eunotia bilunaris,0
116,OCF19,2012,EunInc,Eunotia incisa,0
117,OCF19,2012,FraBre,Fragilaria brevistriata,0
118,OCF19,2012,FraCap,Fragilaria capucina,0
119,OCF19,2012,FraPin,Fragilaria pinnata,0.59
120,OCF19,2012,FraTen,Fragilaria tenera,0
121,OCF19,2012,GomAcu,Gomphonema acuminatum,0
122,OCF19,2012,GomAng,Gomphonema angustatum,0.3
123,OCF19,2012,GomCap,Gomphonema capitatum,0
124,OCF19,2012,GomGra,Gomphonema gracile,0
125,OCF19,2012,GomPar,Gomphonema parvulum,0.3
126,OCF19,2012,GomSub,Gomphonema subtile,0
127,OCF19,2012,GomTru,Gomphonema truncatum,0
128,OCF19,2012,GomSp1,Gomphonema species 1,0
129,OCF19,2012,GyrAcu,Gyrosigma acuminatum,0
130,OCF19,2012,NavCrc,Navicula cryptocephala,0
131,OCF19,2012,NavCrn,Navicula cryptotenella,1.78
132,OCF19,2012,NavDif,Navicula difficillima,0
133,OCF19,2012,NavMin,Navicula minima,0
134,OCF19,2012,NavPup,Navicula pupula,0.59
135,OCF19,2012,NavPyg,Navicula pygmaea,0
136,OCF19,2012,NavRad,Navicula radiosa,0
137,OCF19,2012,NavSem,Navicula seminulum,0
138,OCF19,2012,NavSub,Navicula subtilissima,7.12
139,OCF19,2012,NavTri,Navicula trivialis,0
140,OCF19,2012,NitAng,Nitzschia angustata,0
141,OCF19,2012,NitPal,Nitzschia palea,1.19
142,OCF19,2012,NitPer,Nitzschia perminuta,0
143,OCF19,2012,RhoGib,Rhopalodia gibba,0
144,OCF19,2012,StaAnc,Stauroneis anceps,0
145,OCF19,2012,StaGra,Stauroneis gracilior,0
